ID,Name,Address,City,State,Postal Code,Latitude,Longitude,Phone,Today’s Hours
3493,Triboro Hardware,120 Edward Hart Drive,Jersey City,NJ,07305,40.7000275,-74.0604575,(201) 659-0569,Closed
3294,D & R Industrial Saw,148 Rome Street,Newark,NJ,07105,40.725459,-74.143904,(973) 589-0077,7:00am - 5:00pm
19342,Continental Hardware Inc.,400 Delancy Street,Newark,NJ,07105,40.716851,-74.14995,(973) 589-3929,6:00am - 7:00pm
22416,Metropolitan Lumber & Supply,34-35 Steinway Street,Long Island City,NY,11101,40.7632,-73.99682,(212) 246-9090,6:00am - 6:00pm
12445,Total Tool Rental LTD,166 Nostrand Avenue,Brooklyn,NY,11205,40.69453,-73.95265,(718) 222-9588,7:00am - 4:00pm
13106,Gams Power Tools & Supplies,133-135 Schuyler Avenue,Kearny,NJ,07032,40.753435,-74.145704,(201) 955-0222,8:00am - 4:00pm
25664,Garlock East Equipment,51-35 34th Street,Long Island City,NY,11101,40.74098,-73.94366333,(718) 706-0094,Closed
10153,Siegel Bros Supply Co. Inc.,880 Meeker Avenue,Brooklyn,NY,11222,40.72589,-73.93487,(718) 387-0300,Closed
21766,Trimalawn Equipment,2081 Victory Blvd,Staten Island,NY,10314,40.61256,-74.13294,(718) 761-5166,8:30am - 6:00pm
30810,Essco Truck & Equipment,20 Kinsey Place,Staten Island,NY,10303,40.6288009,-74.1695668,(718) 504-2600,7:00am - 5:00pm
